section	verse	gospel_refs	text
IV	38	Matt. iii. 17	body of a dove; and lo, a voice from heaven, saying, This is my beloved
IV	39	John i. 32	Son, in whom I am well pleased. And John bare witness and said, I beheld the
IV	40	John i. 33	Spirit descend from heaven like a dove; and it abode upon him. But I knew him not; but he that sent me to baptize with water, he said unto me, Upon whomsoever thou shalt behold the Spirit descending and lighting upon him, the same is he that
IV	41	John i. 34	baptizeth with the Holy Spirit. And I have seen and borne witness that this is the Son of God.
IV	42, 43	Luke iv. 1; Mark i. 12; Mark i. 13	And Jesus returned from the Jordan, filled with the Holy Spirit. And immediately the Spirit took him out into the wilderness, to be tried of the devil; and he
IV	44	Matt. iv. 2; Luke iv. 2	was with the beasts. And he fasted forty days and forty nights. And he ate nothing
IV	45	Matt. iv. 2	in those days, and at the end of them he hungered. And the tempter came and said unto him, If thou art the Son of God, speak, and these stones shall become
IV	46	Matt. iv. 4	bread. He answered and said, It is written, Not by bread alone shall man live, but
IV	47	Matt. iv. 5	by every word that proceedeth out of the mouth of God. Then the devil brought
IV	48	Matt. iv. 6	him to the holy city, and set him on the pinnacle of the temple, and said unto him, If thou art the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: And they shall take thee on their arms, So that thy foot shall not stumble against a stone.
IV	49	Matt. iv. 7	Jesus said unto him, And it is written also, Thou shalt not tempt the Lord thy
IV	50	Luke iv. 5	God. And the devil took him up to a high mountain, and shewed him all the kingdoms
IV	51	Luke iv. 6	of the earth, and their glory, in the least time; and the devil said unto him, To thee will I give all this dominion, and its glory, which is delivered to
IV	52	Luke iv. 7	me that I may give it to whomsoever I will. If then thou wilt worship before me, all of it shall be thine. Footnotes[edit]
V	1	Matt. iv. 10	Jesus answered and said unto him, Get thee hence, Satan: for it is written, Thou
V	2	Luke iv. 13	shalt worship the Lord thy God, and him alone shalt thou serve. And when the
V	3	Matt. iv. 11	devil had completed all his temptations, he departed from him for a season. And behold, the angels drew near and ministered unto him.
V	4, 5	John i. 35; John i. 36	And next day John was standing, and two of his disciples; and he saw Jesus as
V	6	John i. 37	he was walking, and said, Behold, the Lamb of God! And his two disciples heard
V	7	John i. 38	him saying this, and they followed Jesus. And Jesus turned and saw them coming after him, and said unto them, What seek ye? They said unto him, Our master,
